ac_type_id,ac_type_cleaned,ac_category
196,BAe 125-700B,Civilian Passenger Aircraft
197,BAe 125-800A,Civilian Passenger Aircraft
198,BAe 146-100,Civilian Passenger Aircraft
199,BAe 146-200,Civilian Passenger Aircraft
200,BAe 146-200A,Civilian Passenger Aircraft
201,BAe 146-300,Civilian Passenger Aircraft
202,BAe 748 2A,Cargo and Transport Aircraft
203,BAe ATP,Civilian Passenger Aircraft
204,BAe Avro RJ-100,Civilian Passenger Aircraft
205,BAe Avro RJ100,Civilian Passenger Aircraft
206,BAe Concorde 101,Specialized or Experimental Aircraft
207,BAe HS-748-232 Srs 2A,Cargo and Transport Aircraft
208,BAe Jetstream 31,Civilian Passenger Aircraft
209,BAe Jetstream 32,Civilian Passenger Aircraft
210,BAe Jetstream 41,Civilian Passenger Aircraft
211,BAe Nimrod MR-2,Specialized or Experimental Aircraft
212,BAe Nimrod MR-2P,Specialized or Experimental Aircraft
213,Bandeirante EMB-110P1,Civilian Passenger Aircraft
214,Beech 200 Super King Air,Civilian Passenger Aircraft
215,Beech 65-A80 Queenaire,General Aviation and Private Aircraft
216,Beech A36,General Aviation and Private Aircraft
217,Beech BE-1900D,Civilian Passenger Aircraft
218,Beech BE-70,General Aviation and Private Aircraft
219,Beech C-45H,General Aviation and Private Aircraft
220,Beech D18S,Vintage Aircraft
221,Beech E18S,Vintage Aircraft
222,Beech G18S,Vintage Aircraft
223,Beech King Air 200 Catpass,Civilian Passenger Aircraft
224,Beech King Air B100,Civilian Passenger Aircraft
225,Beech King Air B90,Civilian Passenger Aircraft
226,Beech King Air F90,Civilian Passenger Aircraft
227,Beech Queen Air A80,General Aviation and Private Aircraft
228,Beechcraft 100 King Air,Civilian Passenger Aircraft
229,Beechcraft 18H,Vintage Aircraft
230,Beechcraft 1900C,Civilian Passenger Aircraft
231,Beechcraft 1900D,Civilian Passenger Aircraft
232,Beechcraft 35-B33 Debonair,General Aviation and Private Aircraft
233,Beechcraft 95-B55,General Aviation and Private Aircraft
234,Beechcraft 99,Civilian Passenger Aircraft
235,Beechcraft 99A,Civilian Passenger Aircraft
236,Beechcraft A100 King Air,Civilian Passenger Aircraft
237,Beechcraft AT-11 Kansan,Specialized or Experimental Aircraft
238,Beechcraft B-99,Civilian Passenger Aircraft
239,Beechcraft B200 Super King Air,Civilian Passenger Aircraft
240,Beechcraft B300 King Air,Civilian Passenger Aircraft
241,Beechcraft B99,Civilian Passenger Aircraft
242,Beechcraft Bonanza F35,General Aviation and Private Aircraft
243,Beechcraft C35,General Aviation and Private Aircraft
244,Beechcraft C45G,General Aviation and Private Aircraft
245,Beechcraft C45H,General Aviation and Private Aircraft
246,Beechcraft C99,Civilian Passenger Aircraft
247,Beechcraft E18S,Vintage Aircraft
248,Beechcraft H50,Civilian Passenger Aircraft
249,Beechcraft SKA 200,Civilian Passenger Aircraft
250,Bell 204B,Helicopters
251,Bell 205A,Helicopters
252,Bell 206B,Helicopters
253,Bell 206B3,Helicopters
254,Bell 206L,Helicopters
255,Bell 206L-1,Helicopters
256,Bell 206L-3,Helicopters
257,Bell 206L-4,Helicopters
258,Bell 212,Helicopters
259,Bell 214ST,Helicopters
260,Bell 222,Helicopters
261,Bell 296B,Helicopters
262,Bell 407,Helicopters
263,Bell 412,Helicopters
264,Bell 47J-2,Helicopters
265,Bell BHT-206-B,Helicopters
266,Bell UH-1B,Helicopters
267,Bell UH-1D,Helicopters
268,Bell UH-1H,Helicopters
269,Bell UH-1N,Helicopters
270,Bell UN-1N,Helicopters
271,Black Hawk helicopter,Helicopters
272,Blackburn B-2,Vintage Aircraft
273,Blackburn Beverley C Mark 1,Cargo and Transport Aircraft
274,Bleriot 155,Vintage Aircraft
275,Bleriot Spad 27,Vintage Aircraft
276,Bleriot Spad 33,Vintage Aircraft
277,Bleriot Spad 46,Vintage Aircraft
278,Bleriot Spad 56,Vintage Aircraft
279,Bleriot Spad 66,Vintage Aircraft
280,Bloch 220,Vintage Aircraft
281,Boeing 17F,Vintage Aircraft
282,Boeing 17G,Vintage Aircraft
283,Boeing 221,Vintage Aircraft
284,Boeing 247,Civilian Passenger Aircraft
285,Boeing 247D,Civilian Passenger Aircraft
286,Boeing 29,Cargo and Transport Aircraft
287,Boeing 29A,Cargo and Transport Aircraft
288,Boeing 29MR,Cargo and Transport Aircraft
289,Boeing 307 Stratoliner,Civilian Passenger Aircraft
290,Boeing 314,Civilian Passenger Aircraft
291,Boeing 314A,Civilian Passenger Aircraft
292,Boeing 377 Stratocruiser,Civilian Passenger Aircraft
293,Boeing 377 Stratofreighter,Cargo and Transport Aircraft
294,Boeing 40,Vintage Aircraft
295,Boeing 50 Superfortress,Cargo and Transport Aircraft
296,Boeing 52,Cargo and Transport Aircraft
297,Boeing 52 Stratofortress,Cargo and Transport Aircraft
298,Boeing 707-121,Civilian Passenger Aircraft
299,Boeing 707-121B,Civilian Passenger Aircraft
300,Boeing 707-123,Civilian Passenger Aircraft
301,Boeing 707-123B,Civilian Passenger Aircraft
302,Boeing 707-124,Civilian Passenger Aircraft
303,Boeing 707-131,Civilian Passenger Aircraft
304,Boeing 707-131B,Civilian Passenger Aircraft
305,Boeing 707-138B,Civilian Passenger Aircraft
306,Boeing 707-309C,Civilian Passenger Aircraft
307,Boeing 707-31,Civilian Passenger Aircraft
308,Boeing 707-320,Civilian Passenger Aircraft
309,Boeing 707-320F,Civilian Passenger Aircraft
310,Boeing 707-321B,Civilian Passenger Aircraft
311,Boeing 707-321C,Civilian Passenger Aircraft
312,Boeing 707-321CF,Civilian Passenger Aircraft
313,Boeing 707-323,Civilian Passenger Aircraft
314,Boeing 707-323C,Civilian Passenger Aircraft
315,Boeing 707-324C,Civilian Passenger Aircraft
316,Boeing 707-326C,Civilian Passenger Aircraft
317,Boeing 707-327C,Civilian Passenger Aircraft
318,Boeing 707-328,Civilian Passenger Aircraft
319,Boeing 707-328B,Civilian Passenger Aircraft
320,Boeing 707-328C,Civilian Passenger Aircraft
321,Boeing 707-329C,Civilian Passenger Aircraft
322,Boeing 707-330C,Civilian Passenger Aircraft
323,Boeing 707-331,Civilian Passenger Aircraft
324,Boeing 707-331B,Civilian Passenger Aircraft
325,Boeing 707-331C,Civilian Passenger Aircraft
326,Boeing 707-336C,Civilian Passenger Aircraft
327,Boeing 707-338C,Civilian Passenger Aircraft
328,Boeing 707-340C,Civilian Passenger Aircraft
329,Boeing 707-344C,Civilian Passenger Aircraft
330,Boeing 707-345C,Civilian Passenger Aircraft
331,Boeing 707-349C,Civilian Passenger Aircraft
332,Boeing 707-351C,Civilian Passenger Aircraft
333,Boeing 707-360C,Civilian Passenger Aircraft
334,Boeing 707-366C,Civilian Passenger Aircraft
335,Boeing 707-373,Civilian Passenger Aircraft
336,Boeing 707-373C,Civilian Passenger Aircraft
337,Boeing 707-379C,Civilian Passenger Aircraft
338,Boeing 707-3B5C,Civilian Passenger Aircraft
339,Boeing 707-3D3C,Civilian Passenger Aircraft
340,Boeing 707-3J9C,Civilian Passenger Aircraft
341,Boeing 707-436,Civilian Passenger Aircraft
342,Boeing 707-437,Civilian Passenger Aircraft
343,Boeing 707-441,Civilian Passenger Aircraft
344,Boeing 707-465,Civilian Passenger Aircraft
345,Boeing 707-E-3B,Civilian Passenger Aircraft
346,Boeing 720,Civilian Passenger Aircraft
347,Boeing 720-030B,Civilian Passenger Aircraft
348,Boeing 720-040B,Civilian Passenger Aircraft
349,Boeing 720-047B,Civilian Passenger Aircraft
350,Boeing 720-051B,Civilian Passenger Aircraft
351,Boeing 720B-023B,Civilian Passenger Aircraft
352,Boeing 727,Civilian Passenger Aircraft
353,Boeing 727-100,Civilian Passenger Aircraft
354,Boeing 727-113C,Civilian Passenger Aircraft
355,Boeing 727-121C,Civilian Passenger Aircraft
356,Boeing 727-134,Civilian Passenger Aircraft
357,Boeing 727-193,Civilian Passenger Aircraft
358,Boeing 727-200,Civilian Passenger Aircraft
359,Boeing 727-21,Civilian Passenger Aircraft
360,Boeing 727-212A,Civilian Passenger Aircraft
361,Boeing 727-214,Civilian Passenger Aircraft
362,Boeing 727-22,Civilian Passenger Aircraft
363,Boeing 727-223,Civilian Passenger Aircraft
364,Boeing 727-224,Civilian Passenger Aircraft
365,Boeing 727-225,Civilian Passenger Aircraft
366,Boeing 727-227,Civilian Passenger Aircraft
367,Boeing 727-228,Civilian Passenger Aircraft
368,Boeing 727-22QC,Civilian Passenger Aircraft
369,Boeing 727-23,Civilian Passenger Aircraft
370,Boeing 727-230,Civilian Passenger Aircraft
371,Boeing 727-231,Civilian Passenger Aircraft
372,Boeing 727-232,Civilian Passenger Aircraft
373,Boeing 727-235,Civilian Passenger Aircraft
374,Boeing 727-23F,Civilian Passenger Aircraft
375,Boeing 727-243F,Civilian Passenger Aircraft
376,Boeing 727-247,Civilian Passenger Aircraft
377,Boeing 727-24C,Civilian Passenger Aircraft
378,Boeing 727-251,Civilian Passenger Aircraft
379,Boeing 727-256,Civilian Passenger Aircraft
380,Boeing 727-264,Civilian Passenger Aircraft
381,Boeing 727-27C,Civilian Passenger Aircraft
382,Boeing 727-281,Civilian Passenger Aircraft
383,Boeing 727-282,Civilian Passenger Aircraft
384,Boeing 727-286,Civilian Passenger Aircraft
385,Boeing 727-2A7,Civilian Passenger Aircraft
386,Boeing 727-2D3,Civilian Passenger Aircraft
387,Boeing 727-2F2,Civilian Passenger Aircraft
388,Boeing 727-2H9A,Civilian Passenger Aircraft
389,Boeing 727-2JOF,Civilian Passenger Aircraft
390,Boeing 727-2L5,Civilian Passenger Aircraft
391,Boeing 727-30,Civilian Passenger Aircraft
392,Boeing 727-46,Civilian Passenger Aircraft
393,Boeing 727-64,Civilian Passenger Aircraft
394,Boeing 727-81,Civilian Passenger Aircraft
395,Boeing 727-86,Civilian Passenger Aircraft
396,Boeing 727-92C,Civilian Passenger Aircraft
397,Boeing 727-95,Civilian Passenger Aircraft
398,Boeing 737 Max 8,Civilian Passenger Aircraft
399,Boeing 737-200,Civilian Passenger Aircraft
400,Boeing 737-201,Civilian Passenger Aircraft
401,Boeing 737-204,Civilian Passenger Aircraft
402,Boeing 737-204C,Civilian Passenger Aircraft
403,Boeing 737-209,Civilian Passenger Aircraft
404,Boeing 737-210C,Civilian Passenger Aircraft
405,Boeing 737-219,Civilian Passenger Aircraft
406,Boeing 737-222,Civilian Passenger Aircraft
407,Boeing 737-230,Civilian Passenger Aircraft
408,Boeing 737-230A,Civilian Passenger Aircraft
